Fe,C,Mn,Cu,Si,P,S,Mo,Ni,Cr,Through Hardening Time,Carburization Time,Normalizing Temperature,Cooling Rate for Tempering,Cooling Rate for Through Hardening,Tempering Temperature,Diffusion time,Quenching Media Temperature (for Carburization),Carburization Temperature,Diffusion Temperature,Reduction Ratio (Ingot to Bar),Through Hardening Temperature,Tempering Time,Fatigue Strength
97.452,0.19,0.77,0.16,0.21,0.017,0.011,0.05,0.12,1.02,0,100.2,930,0.5,0,160,34.8,60,930,895.517,390,30,120,889
97.369,0.21,0.76,0.14,0.3,0.017,0,0.03,0.08,1.09,0,499.8,930,0.5,0,160,70.2,60,930,895.812,460,30,120,
97.469,0.23,0.8,0.07,0.2,0.017,0.018,0.02,0.04,1.14,0,499.8,930,0.5,0,160,70.2,60,930,895.812,690,30,120,1057
97.452,0.19,0.77,0.16,0.21,0.017,0.011,0.05,0.12,1.02,0,499.8,930,0.5,0,160,70.2,60,930,895.812,390,30,120,
97.369,0.21,0.76,0.14,0.3,0.017,0,0.03,0.08,1.09,0,529.8,930,0.5,0,160,70.2,140,930,895.812,460,30,120,876
97.469,0.23,0.8,0.07,0.2,0.017,0.018,0.02,0.04,1.14,0,529.8,930,0.5,0,160,70.2,140,930,895.812,690,30,120,
97.452,0.19,0.77,0.16,0.21,0.017,0.011,0.05,0.12,1.02,0,529.8,930,0.5,0,160,70.2,140,930,895.812,390,30,120,838
97.369,0.21,0.76,0.14,0.3,0.017,0,0.03,0.08,1.09,0,499.8,930,0.5,0,200,70.2,60,930,895.812,460,30,120,
97.469,0.23,0.8,0.07,0.2,0.017,0.018,0.02,0.04,1.14,0,499.8,930,0.5,0,200,70.2,60,930,895.812,690,30,120,1120
97.452,0.19,0.77,0.16,0.21,0.017,0.011,0.05,0.12,1.02,0,499.8,930,0.5,0,200,70.2,60,930,895.812,390,30,120,898
97.169,0.21,0.81,0.07,0.31,0.017,0.019,0.17,0.06,1.17,0,90,930,0.5,0,160,49.8,60,930,881.807,690,30,120,1074
97.761,0.21,0.65,0,0.26,0.017,0.024,0.15,0.02,0.91,0,90,930,0.5,0,160,49.8,60,930,881.807,240,30,120,1006
97.369,0.18,0.79,0.08,0.25,0.017,0.015,0.15,0.07,1.08,0,90,930,0.5,0,160,49.8,60,930,881.807,530,30,120,
97.169,0.21,0.81,0.07,0.31,0.017,0.019,0.17,0.06,1.17,0,340.2,930,0.5,0,160,70.2,60,930,895.812,690,30,120,1144
97.761,0.21,0.65,0,0.26,0.017,0.024,0.15,0.02,0.91,0,340.2,930,0.5,0,160,70.2,60,930,895.812,240,30,120,1028
97.369,0.18,0.79,0.08,0.25,0.017,0.015,0.15,0.07,1.08,0,340.2,930,0.5,0,160,70.2,60,930,895.812,530,30,120,948
97.169,0.21,0.81,0.07,0.31,0.017,0.019,0.17,0.06,1.17,0,340.2,930,0.5,0,160,70.2,140,930,895.812,690,30,120,1080
97.761,0.21,0.65,0,0.26,0.017,0.024,0.15,0.02,0.91,0,340.2,930,0.5,0,160,70.2,140,930,895.812,240,30,120,1030
97.369,0.18,0.79,0.08,0.25,0.017,0.015,0.15,0.07,1.08,0,340.2,930,0.5,0,160,70.2,140,930,895.812,530,30,120,957
97.169,0.21,0.81,0.07,0.31,0.017,0.019,0.17,0.06,1.17,0,340.2,930,0.5,0,200,70.2,60,930,895.812,690,30,120,
97.761,0.21,0.65,0,0.26,0.017,0.024,0.15,0.02,0.91,0,340.2,930,0.5,0,200,70.2,60,930,895.812,240,30,120,1008
97.369,0.18,0.79,0.08,0.25,0.017,0.015,0.15,0.07,1.08,0,340.2,930,0.5,0,200,70.2,60,930,895.812,530,30,120,882
